games,shot_type,distance,location,angle,assisted,all_shots,type_and_distance,shooter_and_type,all_misses,all_swish,coin_flips
100,0.21335911652339848,0.2312436505219075,0.21111175152196968,0.23275980193642598,0.5419515226848974,0.24824420550063428,0.2070742605904944,0.19499351619221897,0.45804847731510256,0.5419515226848974,0.25
200,0.2243370865174136,0.23859437186607024,0.22750310998943607,0.23869123416532775,0.5401869158878505,0.2484258265668814,0.2199798288543408,0.19904559190636362,0.45981308411214955,0.5401869158878505,0.25
300,0.2185803261960507,0.23229333299763963,0.2213338516079632,0.23242394967232674,0.5397902529302899,0.24843923710493634,0.2150109546374331,0.19687634072090177,0.4602097470697101,0.5397902529302899,0.25
400,0.2192080508070895,0.23823429267988303,0.22923855127687237,0.23706265298789939,0.5424795468848332,0.2481985467783116,0.21412898074025535,0.2035279195637188,0.45752045311516676,0.5424795468848332,0.25
500,0.22935360913959726,0.24003570965084914,0.2362943305982378,0.24258191689446773,0.557630392788152,0.24685894261183716,0.22619970519446558,0.21451744952210375,0.44236960721184804,0.557630392788152,0.25
600,0.21314669091436292,0.24073204533086945,0.23625239034054493,0.24199600098098406,0.5462445685909373,0.24786818115691203,0.20890554527436486,0.19175156393891696,0.4537554314090627,0.5462445685909373,0.25
700,0.21902883935742204,0.2372557662058509,0.23432532631592673,0.2384713765878333,0.5276381909547738,0.2494891827082249,0.212077298436788,0.2060718525469823,0.4723618090452261,0.5276381909547738,0.25
800,0.22603102823416457,0.2372059129358137,0.23359906934533747,0.23897845407430435,0.5350032113037894,0.24884407501670122,0.22047869043071536,0.20999899629340216,0.46499678869621064,0.5350032113037894,0.25
900,0.22897485237440043,0.24089547411082438,0.23967731726085117,0.24497021682902284,0.5154574132492113,0.25051176979554335,0.2254626045138341,0.21093743007490212,0.48454258675078865,0.5154574132492113,0.25
1000,0.22166980352283983,0.23780153520047742,0.2350398346511912,0.2394688639175292,0.5414603960396039,0.24828255897829887,0.21824721075630157,0.21177115020045753,0.45853960396039606,0.5414603960396039,0.25
1100,0.23089836039061662,0.24005697600111067,0.23833569264581106,0.2438254939312836,0.5217391304347826,0.24994247155218227,0.22642590877912888,0.2198500666821518,0.4782608695652174,0.5217391304347826,0.25
1200,0.2231701165388019,0.23682903016791362,0.2345801105711121,0.23715515055944064,0.5589330024813896,0.24681068738449544,0.2157105538025894,0.2107496134720845,0.44106699751861045,0.5589330024813896,0.25
1300,0.21864659219450217,0.2396454101316427,0.2377022403651611,0.24050313852056993,0.5629348513598988,0.24644702845054942,0.21553677347303674,0.20243465103014202,0.4370651486401012,0.5629348513598988,0.25
1400,0.21707811314603515,0.2401940995937608,0.23718861897913374,0.2437266521391821,0.5388923459863099,0.24850430270854806,0.2130354801054103,0.20335230472653065,0.4611076540136901,0.5388923459863099,0.25
1500,0.21161041269903727,0.2334686317105208,0.23133051996371082,0.2337397137031424,0.5543945912722803,0.24716975297912197,0.20686276443244261,0.1978081095480291,0.44560540872771975,0.5543945912722803,0.25
1600,0.2234147363969233,0.2348744559620809,0.23406503330438114,0.23830663890865675,0.5469135802469136,0.24781003282559408,0.21957447773854852,0.205369366191186,0.45308641975308644,0.5469135802469136,0.25
1700,0.22620796235895452,0.23784797902339216,0.2374584844795376,0.24174425602488017,0.5264467952706907,0.24958763156234745,0.2218531251559172,0.21143291153259275,0.4735532047293093,0.5264467952706907,0.25
1800,0.21930719840155843,0.233011659302474,0.23189323928224698,0.23595128490695666,0.5476624165148756,0.24774711726419987,0.21644081235987558,0.20850181841807625,0.4523375834851245,0.5476624165148756,0.25
1900,0.22156723591970032,0.23882719912852862,0.2359249745922347,0.24204114160619994,0.5507068223724647,0.2474847665055687,0.21382323154063215,0.20955040328932817,0.44929317762753535,0.5507068223724647,0.25
2000,0.22147893762177126,0.23653093303122802,0.23519662292462262,0.2384464967440988,0.5390672319806178,0.2484892488282319,0.2180058967792184,0.21511542508565057,0.4609327680193822,0.5390672319806178,0.25
2100,0.2251297625414993,0.2349723148437473,0.23415634830458237,0.2375861975939644,0.5419235511713933,0.2482426708153345,0.22190501204892346,0.21285838417926228,0.45807644882860665,0.5419235511713933,0.25
2200,0.2222678508216289,0.24147566615511426,0.24023274617462023,0.2415942544492694,0.5136986301369864,0.2506305333426441,0.2196639360666308,0.21372953963399458,0.4863013698630137,0.5136986301369864,0.25
2300,0.22576207127818954,0.2370362448512273,0.23619308186178387,0.24021858921877834,0.5348550277606415,0.24883591647439757,0.222814102231758,0.21217157176934773,0.4651449722393584,0.5348550277606415,0.25
2400,0.22222080583965206,0.2403699523647491,0.24210971997163963,0.24373296705114816,0.5465041693393201,0.2478548260335118,0.222011868961189,0.21150155176288235,0.45349583066067994,0.5465041693393201,0.25
2500,0.22374779044047396,0.23762561936789103,0.23536805493614915,0.23954283792747438,0.5384138785625775,0.24854407739127962,0.22056705172631436,0.21497013470908205,0.46158612143742256,0.5384138785625775,0.25
2600,0.220762433814836,0.23808504502166344,0.23774948530270762,0.24002935643360956,0.5387931034482759,0.2485090419406621,0.22200218885258097,0.21062449014491627,0.46120689655172414,0.5387931034482759,0.25
2700,0.23811958219453042,0.24552655536676207,0.24526743155393751,0.24689221120677113,0.5400372439478585,0.24840406932554707,0.2352312418354572,0.22954195136931735,0.45996275605214154,0.5400372439478585,0.25
2800,0.23253788627317196,0.24345009368162493,0.24124178202560004,0.24375408980649696,0.5280199252801993,0.2494373335883263,0.23107723372649486,0.22148593197799657,0.47198007471980075,0.5280199252801993,0.25
2900,0.21673695311431582,0.24371442317985495,0.2419571873789478,0.24571324767070646,0.5513846153846154,0.2474362618440718,0.21369625694472733,0.2058846177711587,0.44861538461538464,0.5513846153846154,0.25
3000,0.21016700200161398,0.2352036873929092,0.233784819800822,0.23843143155475305,0.5418689320388349,0.24824728171125476,0.20531435773300444,0.20287774250876825,0.45813106796116504,0.5418689320388349,0.25
3100,0.22066392714533925,0.24004944038647794,0.2376849515122529,0.24008166837424208,0.5388692579505301,0.24850110382019727,0.21695641350121422,0.21099353855671318,0.46113074204946997,0.5388692579505301,0.25
3200,0.21933457454485622,0.2364444792261534,0.23423785201597086,0.23900354301864415,0.5357590966122961,0.24876255167089947,0.21813987928871148,0.21056579359458943,0.4642409033877039,0.5357590966122961,0.25
3300,0.2249343926567217,0.2356816097383359,0.23415550123582335,0.2395878955189777,0.537712895377129,0.24859608606900643,0.22241880149761703,0.21583522626256918,0.46228710462287104,0.537712895377129,0.25
3400,0.2249030784038589,0.2439731987387884,0.2429615221242681,0.24539588794802464,0.5316055625790139,0.24910537515370954,0.22047257813139168,0.21656903983933554,0.4683944374209861,0.5316055625790139,0.25
3500,0.22204444737954024,0.23672150088241378,0.23646518500374308,0.23925669749796796,0.5479535736102626,0.2477389807261031,0.2187257455749053,0.21673746770657493,0.4520464263897373,0.5479535736102626,0.25
3600,0.21184101991806722,0.23745727849762863,0.23572950633971076,0.24022157019733367,0.527794746487477,0.24942411144431006,0.20806649737597044,0.19898327351443543,0.4722052535125229,0.527794746487477,0.25
3700,0.22832644974068161,0.23342962435701106,0.23240873396917894,0.23840279095744843,0.5364806866952789,0.24869885377868908,0.22824123548744152,0.21109115703640932,0.463519313304721,0.5364806866952789,0.25
3800,0.21587144528054703,0.23732705682056027,0.23577621928746792,0.2379691673296888,0.5489821882951654,0.24765273438459437,0.2148456140180677,0.20647339454779046,0.4510178117048346,0.5489821882951654,0.25
3900,0.2273923119551568,0.2403006030661579,0.23946684889207037,0.24380409996727093,0.5471698113207547,0.24780413506619897,0.2256521000918775,0.213055854189469,0.4528301886792453,0.5471698113207547,0.25
